text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
ass,ass,,,sexual anatomy / sexual acts,,,1,Mild
ass bandit,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
ass eating boiolas,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass eating nob jokeys,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fecker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass hole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
ass kisser,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
ass licking,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
ass-bandit,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass-hole,ass,,,sexual anatomy / sexual acts,,,2,Strong
asses,ass,,,sexual anatomy / sexual acts,,,1,Mild
assface,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfook,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfuccer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfuck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfuckerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
assfukah,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
assfukka,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfukker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfukkerz,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfvck3r,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
assfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
asshat,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
asshol3,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
asshole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
asshole fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assholes,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
assmunch,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
assmuncher,ass,,,sexual anatomy / sexual acts,,,2.2,Strong
asswhole,ass,,,sexual anatomy / sexual acts,,,1.4,Mild
asswipe,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
axe wound,wound,,,sexual anatomy / sexual acts,,,1.2,Mild
azz,ass,,,sexual anatomy / sexual acts,,,1,Mild
azzhole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
b to the inch,bitch,,,sexual orientation / gender,,,1.2,Mild
b?tch,bitch,,,sexual orientation / gender,,,1.4,Mild
b00bz,boobs,,,sexual anatomy / sexual acts,,,1,Mild
b0llock,bollocks,,,sexual anatomy / sexual acts,,,1,Mild
b0llocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
b1+ch,bitch,,,sexual orientation / gender,,,1,Mild
b17ch,bitch,,,sexual orientation / gender,,,1.4,Mild
b1otch,bitch,,,sexual orientation / gender,,,1.4,Mild
b1otchs,bitch,,,sexual orientation / gender,,,1.2,Mild
b1tch,bitch,,,sexual orientation / gender,,,1.4,Mild
b1tch1ng,bitch,,,sexual orientation / gender,,,1.2,Mild
b1tch35,bitch,,,sexual orientation / gender,,,1,Mild
b1tch3s,bitch,,,sexual orientation / gender,,,1.4,Mild
b1tchees,bitch,,,sexual orientation / gender,,,1.4,Mild
b1tches,bitch,,,sexual orientation / gender,,,1.4,Mild
b1tchez,bitch,,,sexual orientation / gender,,,1.2,Mild
b1tchin,bitch,,,other / general insult,,,1.2,Mild
b1tching,bitch,,,sexual orientation / gender,,,1.2,Mild
b1tchs,bitch,,,sexual orientation / gender,,,1.4,Mild
b1tchy,bitch,,,sexual orientation / gender,,,1.2,Mild
baby batter,baby batter,,,bodily fluids / excrement,,,1.4,Mild
ballbag,bollocks,,,sexual anatomy / sexual acts,,,1,Mild
bangbros,bang,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
bassturd,bastard,,,other / general insult,,,1.2,Mild
bastard,bastard,retard,,other / general insult,,,1.2,Mild
bastardish,bastard,,,other / general insult,,,1,Mild
bastards,bastard,,,other / general insult,,,1.6,Strong
basterd,bastard,,,other / general insult,,,1,Mild
bastid,bastard,,,other / general insult,,,1.2,Mild
bastinado,bastard,,,other / general insult,,,1.8,Strong
basturd,bastard,,,bodily fluids / excrement,other / general insult,,1.2,Mild
bater,masturbate,,,sexual anatomy / sexual acts,,,1.6,Strong
bates,masturbate,,,sexual anatomy / sexual acts,,,1,Mild
batshit,shit,,,bodily fluids / excrement,animal references,,1,Mild
batshite,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
bbc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
bean queen,bean queen,,,racial / ethnic slurs,,,2.2,Strong
beaner,beaner,,,racial / ethnic slurs,,,2.6,Severe
beaners,beaner,,,racial / ethnic slurs,,,2.6,Severe
beat my meat,meat,,,sexual anatomy / sexual acts,,,1.2,Mild
beat off,beat off,,,sexual anatomy / sexual acts,,,1.2,Mild
beat the meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild
beat your meat,meat,,,sexual anatomy / sexual acts,,,1.4,Mild
beeotch,bitch,,,sexual orientation / gender,,,1,Mild
bell end,bellend,,,mental disability,sexual anatomy / sexual acts,,1,Mild
bellend,bellend,,,sexual anatomy / sexual acts,,,1.2,Mild
bender,bender,,,sexual orientation / gender,,,1.6,Strong
bewbs,boobs,,,sexual anatomy / sexual acts,,,1,Mild
beyoch,bitch,,,sexual orientation / gender,,,1.2,Mild
beyotch,bitch,,,other / general insult,,,1.2,Mild
bi + ch,bitch,,,sexual orientation / gender,,,1.2,Mild
bi+ch,bitch,,,sexual orientation / gender,,,1.4,Mild
biatch,bitch,,,sexual orientation / gender,,,1.2,Mild
biches,bitch,,,sexual orientation / gender,,,1.4,Mild
biotch,bitch,,,sexual orientation / gender,,,1,Mild
biotches,bitch,,,sexual orientation / gender,,,1.2,Mild
biotchez,bitch,,,sexual orientation / gender,,,1.4,Mild
bishes,bitch,,,sexual orientation / gender,,,1.2,Mild
bitch,bitch,,,sexual orientation / gender,,,1.4,Mild
bitch3s,bitch,,,sexual orientation / gender,,,1.2,Mild
bitchass,bitch,ass,,sexual orientation / gender,other / general insult,,1.6,Strong
bitchasses,bitch,ass,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
bitched,bitch,,,sexual orientation / gender,,,1.2,Mild
bitcher,bitch,,,sexual orientation / gender,,,1.4,Mild
bitchers,bitch,,,sexual orientation / gender,,,1.4,Mild
bitches,bitch,,,sexual orientation / gender,,,1.6,Strong
bitchez,bitch,,,sexual orientation / gender,,,1.4,Mild
bitchfuck,fuck,bitch,,sexual anatomy / sexual acts,,,2.4,Strong
bitchhole,bitch,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
bitchin,bitch,,,other / general insult,,,1.2,Mild
bitchin',bitch,,,other / general insult,,,1,Mild
bitching,bitch,,,sexual orientation / gender,,,1,Mild
bitchlike,bitch,,,sexual orientation / gender,,,1.2,Mild
bitchness,bitch,,,sexual orientation / gender,,,1.6,Strong
bitchs,bitch,,,sexual orientation / gender,,,1,Mild
bitchslap,bitch,,,sexual orientation / gender,other / general insult,,1,Mild
bitchtits,bitch,,,sexual anatomy / sexual acts,,,2.2,Strong
bitchy,bitch,,,sexual orientation / gender,,,1.2,Mild
bitchy ass,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
bizzach,bitch,,,sexual orientation / gender,,,1.6,Strong
BJ,blowjob,,,sexual anatomy / sexual acts,,,1.6,Strong
blacky,blacky,,,racial / ethnic slurs,,,2.4,Strong
blow a load,blow a load,,,bodily fluids / excrement,,,1.6,Strong
blow job,blowjob,,,sexual anatomy / sexual acts,,,2,Strong
blowjob,blowjob,,,sexual anatomy / sexual acts,,,1.2,Mild
blumpkin boy,blumpkin,,,sexual anatomy / sexual acts,,,2.4,Strong
boll0ck,bollocks,,,sexual anatomy / sexual acts,,,1,Mild
bollock,bollocks,,,sexual anatomy / sexual acts,,,1,Mild
bollockchops,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
bollocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
bollocktician,bollocks,,,sexual anatomy / sexual acts,,,1.4,Mild
bollox,bollocks,,,sexual anatomy / sexual acts,,,1,Mild
bondage,bondage,,,sexual anatomy / sexual acts,,,1,Mild
boner,boner,,,sexual anatomy / sexual acts,,,1,Mild
bonk juice,bonk,,,bodily fluids / excrement,,,1.6,Strong
boobs,boobs,,,sexual anatomy / sexual acts,,,1,Mild
booty,booty,,,sexual anatomy / sexual acts,,,1,Mild
breasticles,breast,,,sexual anatomy / sexual acts,,,1.4,Mild
breasts,breast,,,sexual anatomy / sexual acts,,,1,Mild
bugger,bugger,,,sexual anatomy / sexual acts,other / general insult,,1.2,Mild
bugger off,bugger,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
bull shit,shit,,,bodily fluids / excrement,animal references,,1,Mild
bullshi,shit,,,bodily fluids / excrement,,,1,Mild
bullshit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
bullshite,shit,,,bodily fluids / excrement,,,1,Mild
bum-bandits,bum,,,sexual orientation / gender,,,1.8,Strong
bum-driller,bum,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
bumhole,bum,,,sexual anatomy / sexual acts,,,1,Mild
bung hole,bung,,,sexual anatomy / sexual acts,,,1,Mild
butt fuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
butt fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
butt hole,butt,,,sexual anatomy / sexual acts,,,1,Mild
butt pirate,butt,,,sexual orientation / gender,,,2.2,Strong
butt-fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
butt-fuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
butt-fucking-bandit,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
butt-munchers,butt,,,sexual anatomy / sexual acts,,,2,Strong
buttermilk,buttermilk,,,racial / ethnic slurs,,,1.4,Mild
buttfuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
buttfucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
buttfuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
butthole,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.2,Mild
butthole boy,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
bwc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
c*nt,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
c*ntface,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
c*nts,cunt,,,sexual orientation / gender,,,2.8,Severe
c*nty,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
c00n,coon,,,racial / ethnic slurs,,,2.8,Severe
c00nies,coon,,,racial / ethnic slurs,,,2.6,Severe
c0ck,cock,,,sexual anatomy / sexual acts,,,1.2,Mild
c0ckhead,cock,,,sexual anatomy / sexual acts,,,2,Strong
c0cks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong
c0cksuccer,cock,,,sexual anatomy / sexual acts,,,2,Strong
c0cksucked,cock,,,sexual anatomy / sexual acts,,,2,Strong
c0cksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
c0cksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
c0x,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
c0xux0r,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
caaak,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
caca,shit,,,bodily fluids / excrement,,,1,Mild
cack,cock,,,bodily fluids / excrement,,,1.2,Mild
cagone,cojones,,,bodily fluids / excrement,,,1.2,Mild
cajones,cojones,,,sexual anatomy / sexual acts,,,1,Mild
Camel jockey,camel jockey,,,racial / ethnic slurs,animal references,,2.8,Severe
cameltoe,cameltoe,,,sexual anatomy / sexual acts,,,1.2,Mild
carpet muncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.4,Strong
carpetmuncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.6,Severe
carpetmunchers,carpet muncher,,,sexual orientation / gender,,,2.2,Strong
carpetmunching,carpet muncher,,,sexual anatomy / sexual acts,,,1.6,Strong
cawk,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
cawk muncher,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cawkmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cawks,cock,,,sexual anatomy / sexual acts,,,1.2,Mild
cawksucker,cock,,,sexual anatomy / sexual acts,,,2.6,Severe
ch1nk,chink,,,racial / ethnic slurs,,,3,Severe
chesticles,testicles,,,sexual anatomy / sexual acts,,,1,Mild
china-virus,china virus,,,political,,,2.2,Strong
chinavirus,china virus,,,political,,,2.6,Severe
chinese-virus,china virus,,,political,,,2.8,Severe
chingchong,chingchong,,,racial / ethnic slurs,,,2.8,Severe
chink,chink,,,racial / ethnic slurs,,,3,Severe
chinky,chink,,,racial / ethnic slurs,,,3,Severe
choad nectar,choad,,,bodily fluids / excrement,,,2,Strong
chocha,chocha,,,sexual anatomy / sexual acts,,,2.4,Strong
choke the chicken,choke the chicken,,,sexual anatomy / sexual acts,,,1.4,Mild
cholo,cholo,,,racial / ethnic slurs,,,1.6,Strong
clitlickers,clit,,,sexual anatomy / sexual acts,,,2,Strong
closet fuckhead,fuck,,,sexual orientation / gender,,,2.8,Severe
clusterfuck,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
clusterfucked,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
clusterfucker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
clusterfucking,fuck,,,sexual anatomy / sexual acts,,,2,Strong
clusterfucks,fuck,,,sexual anatomy / sexual acts,,,2,Strong
cobb knobbler,knob,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
cock,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
cock droplets,cock,,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.4,Strong
cock head,cock,,,sexual anatomy / sexual acts,,,2,Strong
cock jockey,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cock knocker,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cock licker,cock,,,sexual anatomy / sexual acts,,,2,Strong
cock munch,cock,,,sexual anatomy / sexual acts,,,2,Strong
cock rider,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
cock smoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cock snot,cock,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
cock suck,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cock sucker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cock sucking,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cock sucking boiolas,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
cock sucking nob jokeys,cock,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
cock tease,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cock-face,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cock-gobbler,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cock-head,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cock-sucker,cock,,,sexual anatomy / sexual acts,,,2,Strong
cock-suckers,cock,,,sexual anatomy / sexual acts,,,2,Strong
cockboy,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cockeater,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cockface,cock,,,sexual anatomy / sexual acts,,,2,Strong
cockgobbler,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cockh3ad,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cockhead,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cockheads,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cockhed,cock,,,sexual anatomy / sexual acts,,,2,Strong
cockless,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
cocklicker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cockmonger,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cockmunch,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cockmuncher,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cocks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong
cockshit,cock,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
cockskin,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
cocksmoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksucc,cock,,,sexual anatomy / sexual acts,,,2,Strong
cocksuccas,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuccer,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuccers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuck,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuckas,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cocksucked,cock,,,sexual anatomy / sexual acts,,,2,Strong
cocksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksucking,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cocksucking mothafuckers,motherfucker,cock,,sexual anatomy / sexual acts,other / general insult,,3,Severe
cocksucks,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocksuk,cock,,,sexual anatomy / sexual acts,,,2,Strong
cocksuka,cock,,,sexual anatomy / sexual acts,,,2,Strong
cocksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cocsuck,cock,,,sexual anatomy / sexual acts,,,2,Strong
cokmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
coksucka,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
coolie,coolie,,,racial / ethnic slurs,,,1.8,Strong
coon,coon,,,racial / ethnic slurs,,,3,Severe
coon1es,coon,,,racial / ethnic slurs,,,3,Severe
cooni3s,coon,,,racial / ethnic slurs,,,2.4,Strong
coonie,coon,,,racial / ethnic slurs,,,2.8,Severe
coonies,coon,,,racial / ethnic slurs,,,3,Severe
coons,coon,,,racial / ethnic slurs,,,2.8,Severe
coot,coot,,,sexual anatomy / sexual acts,,,1.6,Strong
coot coot,coot,,,sexual anatomy / sexual acts,,,1.4,Mild
cooter,coot,,,sexual anatomy / sexual acts,,,1.2,Mild
cooter shooting,coot,,,sexual anatomy / sexual acts,,,2.6,Severe
cooterpuffing,coot,,,sexual anatomy / sexual acts,,,2.4,Strong
cooties,cooties,,,other / general insult,,,1,Mild
cotton picker,cotton picker,,,racial / ethnic slurs,,,2.8,Severe
crazy mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild
crazy sob,bitch,,,mental disability,,,1.4,Mild
creampie,creampie,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
crotch,crotch,,,sexual anatomy / sexual acts,,,1,Mild
crotch fiddler,crotch,,,sexual anatomy / sexual acts,,,2.2,Strong
crotchy,crotch,,,sexual anatomy / sexual acts,,,1.4,Mild
crow,crow,,,animal references,,,1,Mild
crows,crow,,,sexual orientation / gender,animal references,,1.4,Mild
cuksuker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
cuksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
cum goon,cum,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
cumball,cum,,,bodily fluids / excrement,,,2.4,Strong
cumdumpster,cum,,,bodily fluids / excrement,,,2.8,Severe
cumming,cum,,,bodily fluids / excrement,,,1.6,Strong
cums,cum,,,bodily fluids / excrement,,,1.4,Mild
cumslut,cum,,,bodily fluids / excrement,other / general insult,,2.8,Severe
cumz,cum,,,bodily fluids / excrement,,,2,Strong
cunnilingus,cunnilingus,,,sexual anatomy / sexual acts,,,2,Strong
cunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
cunt ass,cunt,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
cunt fart,cunt,fart,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
cunt lick,cunt,,,sexual anatomy / sexual acts,,,3,Severe
cunt licker,cunt,,,sexual anatomy / sexual acts,,,3,Severe
cunt lips,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
cuntasaurus rex,cunt,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
cuntbag,cunt,,,sexual anatomy / sexual acts,,,3,Severe
cuntbollock,cunt,,,sexual anatomy / sexual acts,,,2.2,Strong
cuntelope,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong
cuntits,cunt,tits,,sexual anatomy / sexual acts,,,2.8,Severe
cuntless,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
cuntlick,cunt,,,sexual anatomy / sexual acts,,,3,Severe
cuntlicker,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong
cuntlickers,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
cuntness,cunt,,,sexual anatomy / sexual acts,,,3,Severe
cunts,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
cunty,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
cuntz,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
cuunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
cyberfck,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
cyberfcks,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
cyberfuccs,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
cyberfucks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
cyberfucs,fuck,,,sexual anatomy / sexual acts,,,2,Strong
cyberfukk,fuck,,,sexual anatomy / sexual acts,,,2,Strong
cyberfukks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
cyberfvcks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
d!ck,dick,,,sexual anatomy / sexual acts,,,1,Mild
d!cks,dick,,,sexual anatomy / sexual acts,,,1,Mild
d!ld0,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
d!ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
