text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
shitdicks,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shitdikk,shit,dick,,bodily fluids / excrement,,,2,Strong
shitdip,shit,,,bodily fluids / excrement,,,1.8,Strong
shite,shit,,,bodily fluids / excrement,,,1,Mild
shiteblimps,shit,,,bodily fluids / excrement,,,1.8,Strong
shited,shit,,,bodily fluids / excrement,,,1.2,Mild
shitedick,shit,dick,,sexual anatomy / sexual acts,,,2,Strong
shitefuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong
shitefulls,shit,,,bodily fluids / excrement,,,1.8,Strong
shitehead,shit,,,bodily fluids / excrement,,,1.8,Strong
shites,shit,,,bodily fluids / excrement,,,1,Mild
shitey,shit,,,bodily fluids / excrement,,,1.2,Mild
shitface,shit,,,bodily fluids / excrement,,,2,Strong
shitfaced,shit,,,bodily fluids / excrement,physical attributes,,1.2,Mild
shitfacefuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe
shitfacefucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
shitfck,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
shitfk,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shitfreak,shit,,,bodily fluids / excrement,,,2,Strong
shitfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
shitfucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
shitfuckhead,fuck,shit,,other / general insult,bodily fluids / excrement,,2.6,Severe
shitfuckmotherfucker,motherfucker,shit,fuck,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
shitfucks,fuck,shit,,sexual anatomy / sexual acts,,,2.4,Strong
shitfudgefucker,fuck,shit,fudge packer,bodily fluids / excrement,other / general insult,,2.6,Severe
shitfvck,shit,fuck,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.2,Strong
shithead,shit,,,bodily fluids / excrement,,,1.8,Strong
shitheadfucker,fuck,shit,,sexual anatomy / sexual acts,,,2.8,Severe
shitheadfuckface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.4,Strong
shitheads,shit,,,bodily fluids / excrement,,,1.8,Strong
shithole,shit,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shits,shit,,,bodily fluids / excrement,,,1,Mild
shitsdick,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shitsfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
shitsful,shit,,,bodily fluids / excrement,,,1,Mild
shittastic,shit,,,bodily fluids / excrement,,,1.2,Mild
shittasticfuck,fuck,shit,,bodily fluids / excrement,,,2.2,Strong
shitte,shit,,,bodily fluids / excrement,,,1,Mild
shitted,shit,,,bodily fluids / excrement,,,1.2,Mild
shitter,shit,,,bodily fluids / excrement,,,1,Mild
shitterfucker,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.6,Severe
shitti,shit,,,bodily fluids / excrement,,,1,Mild
shitties,shit,,,bodily fluids / excrement,,,1,Mild
shittiest,shit,,,bodily fluids / excrement,,,1.2,Mild
shitting,shit,,,bodily fluids / excrement,,,1.4,Mild
shittings,shit,,,bodily fluids / excrement,,,1.2,Mild
shitty,shit,,,bodily fluids / excrement,,,1,Mild
shitty mofoes,shit,motherfucker,,bodily fluids / excrement,sexual anatomy / sexual acts,other / general insult,1.6,Strong
shittydick,shit,dick,,bodily fluids / excrement,sexual anatomy / sexual acts,,2,Strong
shittydicks,shit,dick,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
shittyfuck,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
shittyfuckface,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.2,Strong
shittyful,shit,,,bodily fluids / excrement,,,1.6,Strong
shlong,shlong,,,sexual anatomy / sexual acts,,,1,Mild
shmale,shemale,,,sexual orientation / gender,,,1.4,Mild
shtfuk,shit,fuck,,other / general insult,bodily fluids / excrement,,1.8,Strong
shut the fuck up,fuck,,,other / general insult,,,2.2,Strong
shylock,shylock,,,racial / ethnic slurs,,,1.6,Strong
shytfeisterfuck,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
sissy,sissy,,,sexual orientation / gender,,,1,Mild
sixty-nine,69,,,sexual anatomy / sexual acts,,,1.2,Mild
sk@nks,skank,,,sexual orientation / gender,,,1.6,Strong
sk@nky,skank,,,sexual orientation / gender,,,1,Mild
sk@nkz,skank,,,sexual orientation / gender,,,1.4,Mild
skank,skank,,,sexual orientation / gender,,,1.8,Strong
skanks,skank,,,sexual orientation / gender,,,1.2,Mild
skanky,skank,,,sexual orientation / gender,,,1.4,Mild
skankz,skank,,,sexual orientation / gender,,,1.6,Strong
sl@nteye,slant eye,,,racial / ethnic slurs,physical attributes,,3,Severe
slag,slag,,,sexual orientation / gender,,,1.6,Strong
slantard,retard,slant eye,,racial / ethnic slurs,,,2.8,Severe
slanteye,slant eye,,,racial / ethnic slurs,physical attributes,,3,Severe
slanteye b1tch,bitch,slant eye,,racial / ethnic slurs,sexual orientation / gender,,2.6,Severe
slanteyes,slant eye,,,racial / ethnic slurs,,,3,Severe
slanteyeshit,shit,slant eye,,bodily fluids / excrement,racial / ethnic slurs,,3,Severe
slantfreak,slant eye,,,racial / ethnic slurs,physical attributes,,2.6,Severe
slanty,slant eye,,,racial / ethnic slurs,physical attributes,,2.6,Severe
slit,slit,,,sexual orientation / gender,,,1.6,Strong
slut,slut,,,sexual orientation / gender,,,2,Strong
slut hole,slut,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
sluts,slut,,,sexual orientation / gender,,,1.6,Strong
slutty,slut,,,sexual orientation / gender,,,1.8,Strong
snatch,snatch,,,sexual anatomy / sexual acts,,,1,Mild
snatch licker,snatch,,,sexual anatomy / sexual acts,,,2.8,Severe
soab,bitch,,,other / general insult,sexual orientation / gender,,1.6,Strong
son o bitch,bitch,,,sexual orientation / gender,,,1.6,Strong
son of a bitch,bitch,,,other / general insult,sexual orientation / gender,,1.2,Mild
son-of-a-bitch,bitch,,,sexual orientation / gender,other / general insult,,1.2,Mild
sonna bitch,bitch,,,sexual orientation / gender,other / general insult,,1.2,Mild
sonofabitch,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sonofbitches,bitch,,,sexual orientation / gender,other / general insult,,1,Mild
sons of b1tches,bitch,,,sexual orientation / gender,,,1.6,Strong
sons of bitches,bitch,,,other / general insult,sexual orientation / gender,,1.6,Strong
sons-of-bitches,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sonz of bitchez,bitch,,,other / general insult,sexual orientation / gender,,1.8,Strong
soppy bollucks,bollocks,,,sexual anatomy / sexual acts,,,1.6,Strong
spanking,spank,,,sexual anatomy / sexual acts,,,1,Mild
sperm,sperm,,,bodily fluids / excrement,,,1,Mild
sphincter,sphincter,,,sexual anatomy / sexual acts,,,1,Mild
spic,spic,,,racial / ethnic slurs,,,3,Severe
spicfuck,fuck,spic,,sexual anatomy / sexual acts,racial / ethnic slurs,,3,Severe
spick,spic,,,racial / ethnic slurs,,,2.8,Severe
spics,spic,,,racial / ethnic slurs,,,2.8,Severe
spicshit,spic,shit,,bodily fluids / excrement,racial / ethnic slurs,,3,Severe
spig,spic,,,racial / ethnic slurs,,,2.6,Severe
spik,spic,,,racial / ethnic slurs,,,3,Severe
spix,spic,,,racial / ethnic slurs,,,3,Severe
spook,spook,,,racial / ethnic slurs,,,3,Severe
spooks,spook,,,racial / ethnic slurs,,,2.6,Severe
spunk,spunk,,,bodily fluids / excrement,,,1.2,Mild
stfu,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
stump chewer,stump chewer,,,sexual anatomy / sexual acts,,,1.4,Mild
stupid fucker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
stupid hoe,hoe,,,sexual orientation / gender,,,2.4,Strong
stupidasses,ass,,,sexual anatomy / sexual acts,mental disability,,1,Mild
suck,suck,,,sexual anatomy / sexual acts,,,1,Mild
suck my cock,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
suck my d,dick,,,sexual anatomy / sexual acts,,,1.8,Strong
suck my dick,dick,,,sexual anatomy / sexual acts,,,2.2,Strong
suck off,suck,,,sexual anatomy / sexual acts,,,1.8,Strong
sum of a bitch,bitch,,,other / general insult,sexual orientation / gender,,1.4,Mild
sumbitch,bitch,,,sexual orientation / gender,,,1.6,Strong
swine,swine,,,animal references,,,1,Mild
swine fucker,fuck,swine,,sexual anatomy / sexual acts,animal references,,2.8,Severe
tacohead,tacohead,,,racial / ethnic slurs,,,2.4,Strong
tadger,tadger,,,sexual anatomy / sexual acts,,,1.4,Mild
taking the piss,taking the piss,,,bodily fluids / excrement,,,1,Mild
tallywacker,tallywacker,,,sexual anatomy / sexual acts,,,1.2,Mild
tar-baby,tar-baby,,,racial / ethnic slurs,,,2.6,Severe
tard,retard,,,mental disability,,,2.8,Severe
tard asses,ass,,,sexual anatomy / sexual acts,mental disability,,3,Severe
tart,tart,,,mental disability,sexual anatomy / sexual acts,sexual orientation / gender,1.2,Mild
throat yogurt,throat yogurt,,,bodily fluids / excrement,,,1.8,Strong
throater,throater,,,sexual anatomy / sexual acts,,,2.4,Strong
tickle the pickle,tickle the pickle,,,sexual anatomy / sexual acts,,,1.2,Mild
timber nigger,nigger,,,racial / ethnic slurs,,,3,Severe
tits,tit,,,sexual anatomy / sexual acts,,,1,Mild
tongue fucker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
tongue fucking,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
tosser,tosser,,,other / general insult,,,1.2,Mild
tossing salad,tossing salad,,,sexual anatomy / sexual acts,,,1.8,Strong
towelhead,towelhead,,,racial / ethnic slurs,,,3,Severe
towelheads,towelhead,,,racial / ethnic slurs,,,3,Severe
towelshithead,towelhead,shit,,racial / ethnic slurs,,,2.6,Severe
tramp,tramp,,,sexual orientation / gender,,,1.6,Strong
Tranny,tranny,,,sexual orientation / gender,,,2.8,Severe
transvestite,transvestite,,,sexual orientation / gender,,,2.4,Strong
trashb1tch,bitch,trash,,sexual orientation / gender,,,1.8,Strong
trashbitch,bitch,trash,,sexual orientation / gender,other / general insult,,2,Strong
trashbitches,bitch,trash,,sexual orientation / gender,,,1.4,Mild
trashbitchez,bitch,trash,,sexual orientation / gender,,,1.2,Mild
trashbtch,bitch,trash,,sexual orientation / gender,,,1.4,Mild
trasherbitch,bitch,trash,,sexual orientation / gender,other / general insult,,1.4,Mild
trasherbitchs,bitch,trash,,sexual orientation / gender,,,1.2,Mild
trashybitches,bitch,,,sexual orientation / gender,,,1.8,Strong
trouser snake,trouser snake,,,sexual anatomy / sexual acts,,,1,Mild
trousersnake,trousersnake,,,sexual anatomy / sexual acts,,,1.4,Mild
turdcutter,turd,,,other / general insult,bodily fluids / excrement,,1.6,Strong
turdhead,turd,,,bodily fluids / excrement,,,1.6,Strong
tw@t,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
twa+,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.2,Mild
twat,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
twat waffle,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
twatface,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
twats,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twatt,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twattish,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.6,Strong
twatzilla,twat,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
twink,twink,,,sexual orientation / gender,,,1.2,Mild
upskirts,upskirt,,,sexual anatomy / sexual acts,,,1.4,Mild
useless fucker,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
vag,vagina,,,sexual anatomy / sexual acts,,,1.2,Mild
vajayjay,vagina,,,sexual anatomy / sexual acts,,,1.2,Mild
vulva,vulva,,,sexual anatomy / sexual acts,,,1,Mild
w@nker,wank,,,sexual anatomy / sexual acts,other / general insult,,1.2,Mild
w@nkers,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
w4nk3r,wank,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
w4nker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wang,wang,,,sexual anatomy / sexual acts,,,1.4,Mild
wang wrangler,wang,,,sexual anatomy / sexual acts,,,2,Strong
wank,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wank off,wank,,,sexual anatomy / sexual acts,,,1,Mild
wank3r,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wank3rs,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankbastard,wank,bastard,,sexual anatomy / sexual acts,,,1.8,Strong
wanked,wank,,,sexual anatomy / sexual acts,,,1.2,Mild
wanker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankers,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankies,wank,,,sexual anatomy / sexual acts,,,1.6,Strong
wanking,wank,,,sexual anatomy / sexual acts,,,1,Mild
wanks,wank,,,sexual anatomy / sexual acts,,,1,Mild
we1back,wetback,,,racial / ethnic slurs,,,2.6,Severe
weenie,weenie,,,sexual anatomy / sexual acts,,,1,Mild
weiner,weiner,,,sexual anatomy / sexual acts,,,1,Mild
wet back,wetback,,,racial / ethnic slurs,,,2.8,Severe
wetback,wetback,,,racial / ethnic slurs,,,3,Severe
wetbacks,wetback,,,racial / ethnic slurs,,,2.6,Severe
wh0r3,whore,,,sexual orientation / gender,,,2,Strong
wh0re,whore,,,sexual orientation / gender,,,2,Strong
whack off,whack off,,,sexual anatomy / sexual acts,,,1.2,Mild
what the fuck,fuck,,,other / general insult,,,2.2,Strong
whoar,whore,,,sexual orientation / gender,,,1.8,Strong
whoars,whore,,,sexual orientation / gender,,,2,Strong
whor3,whore,,,sexual orientation / gender,,,1.8,Strong
whore,whore,,,sexual orientation / gender,,,1.8,Strong
whores,whore,,,sexual orientation / gender,,,2,Strong
wigger,nigger,,,racial / ethnic slurs,,,2.6,Severe
willy-whacker,willy-whacker,,,sexual anatomy / sexual acts,,,1.8,Strong
window licker,window licker,,,mental disability,,,1.8,Strong
wise ass,ass,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wnker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wop,wop,,,racial / ethnic slurs,,,2.4,Strong
wophead,wop,,,racial / ethnic slurs,,,2.2,Strong
zip in the wire,zipperhead,,,racial / ethnic slurs,,,1.4,Mild
zipperhead,zipperhead,,,racial / ethnic slurs,,,2.4,Strong
